Date,Value
2022-07-25,38.598623063686
2022-07-26,38.373034997129
2022-07-27,35.486517498571
2022-07-28,38.231899024671
2022-07-29,39.061732644857
2022-08-01,41.576018359143
2022-08-02,40.090189328743
2022-08-03,40.8908777969
2022-08-04,44.3205966724
2022-08-05,47.491566265057
2022-08-08,49.577739529543
2022-08-09,49.921744119343
2022-08-10,48.892713711986
2022-08-11,51.751692484214
2022-08-12,52.895123350543
2022-08-15,54.952839931143
2022-08-16,54.866551921971
2022-08-17,56.6676993689
2022-08-18,55.351348250143
2022-08-19,54.466896156043
2022-08-22,51.236947791171
2022-08-23,46.120940906486
2022-08-24,45.093402180157
2022-08-25,46.493975903614
2022-08-26,48.666896156057
2022-08-29,44.207458405057
2022-08-30,54.114285714286
2022-08-31,49.114285714286
2022-09-01,48.171428571429
2022-09-02,45.485714285714
2022-09-06,42.857142857143
2022-09-07,41.171428571429
2022-09-08,40.457142857143
2022-09-09,41.742857142857
2022-09-12,44.942857142857
2022-09-13,48.657142857143
2022-09-14,39.720879120879
2022-09-15,41.714285714286
2022-09-16,40.228571428571
2022-09-19,35.857142857143
2022-09-20,37.171428571429
2022-09-21,36.657142857143
2022-09-22,30.837229437229
2022-09-23,31.108403361345
2022-09-26,24.433954451346
2022-09-27,19.061224489796
2022-09-28,18.02092555332
2022-09-29,19.150793650794
2022-09-30,16.21409001957
2022-10-03,14.723552123552
2022-10-04,24.514285714286
2022-10-05,29.142857142857
2022-10-06,29.714285714286
2022-10-07,26.98947368421
2022-10-10,24.939517625232
2022-10-11,20.432967032967
2022-10-12,19.703074141049
2022-10-13,19.453571428571
2022-10-14,23.257495590829
2022-10-17,21.795121951219
2022-10-18,30.991394148021
2022-10-19,33.960544217687
2022-10-20,35.818367346939
2022-10-21,40.114285714286
2022-10-24,45.342857142857
2022-10-25,49.914285714286
2022-10-26,52.971428571429
2022-10-27,57.285714285714
2022-10-28,56.6
2022-10-31,64.05714
2022-11-01,63.51429
2022-11-02,55.28571
2022-11-03,55.51429
2022-11-04,56.51429
2022-11-07,59.65714
2022-11-08,57.94286
2022-11-09,54.0
2022-11-10,60.34286
2022-11-11,63.74286
2022-11-14,62.68571
2022-11-15,66.91429
2022-11-16,65.08571
2022-11-17,61.48571
2022-11-18,60.34286
2022-11-21,60.97143
2022-11-22,60.8
2022-11-23,64.25714
2022-11-25,63.08571
2022-11-28,59.74286
2022-11-29,58.17143
2022-11-30,73.97143
2022-12-01,75.6
2022-12-02,68.14286
2022-12-05,65.08571
2022-12-06,61.82857
2022-12-07,58.42857
2022-12-08,55.68571
2022-12-09,52.08571
2022-12-12,57.2
2022-12-13,59.17143
2022-12-14,60.94286
2022-12-15,60.14286
2022-12-16,44.14286
2022-12-19,39.97143
2022-12-20,38.31429
2022-12-21,38.54286
2022-12-22,37.0
2022-12-23,39.51429
2022-12-27,39.94286
2022-12-28,35.51429
2022-12-29,37.14286
2022-12-30,36.51429
2023-01-03,36.6
2023-01-04,39.85714
2023-01-05,44.17143
2023-01-06,45.71429
2023-01-09,47.2
2023-01-10,49.65714
2023-01-11,54.22857
2023-01-12,56.68571
2023-01-13,61.31429
2023-01-17,64.14286
2023-01-18,58.42857
2023-01-19,55.42857
2023-01-20,58.54286
2023-01-23,63.6
2023-01-24,63.0
2023-01-25,63.88571
2023-01-26,68.02857
2023-01-27,69.2
2023-01-30,67.45714
2023-01-31,70.34286
2023-02-01,82.17143
2023-02-02,75.2
2023-02-03,76.14286
2023-02-06,75.91429
2023-02-07,76.34286
2023-02-08,74.62857
2023-02-09,72.62857
2023-02-10,72.48571
2023-02-13,71.82857
2023-02-14,73.25714
2023-02-15,73.65714
2023-02-16,70.71429
2023-02-17,69.48571
2023-02-21,65.91429
2023-02-22,64.17143
2023-02-23,62.65714
2023-02-24,60.65714
2023-02-27,61.22857
2023-02-28,61.2
2023-03-01,65.91429
2023-03-02,52.45714
2023-03-03,55.68571
2023-03-06,55.25714
2023-03-07,48.51429
2023-03-08,49.82857
2023-03-09,37.54286
2023-03-10,26.88571
2023-03-13,23.35714
2023-03-14,25.08571
2023-03-15,22.68571
2023-03-16,32.57143
2023-03-17,27.0
2023-03-20,30.42857
2023-03-21,43.48571
2023-03-22,41.02857
2023-03-23,38.34286
2023-03-24,37.71429
2023-03-27,40.2
2023-03-28,39.6
2023-03-29,41.45714
2023-03-30,45.22857
2023-03-31,49.48571
2023-04-03,61.48571
2023-04-04,50.22857
2023-04-05,52.62857
2023-04-06,55.25714
2023-04-10,57.91429
2023-04-11,58.48571
2023-04-12,60.74286
2023-04-13,63.17143
2023-04-14,65.71429
2023-04-17,67.08571
2023-04-18,65.48571
2023-04-19,67.25714
2023-04-20,64.05714
2023-04-21,63.51429
2023-04-24,63.48571
2023-04-25,57.05714
2023-04-26,52.4
2023-04-27,58.31429
2023-04-28,59.42857
2023-05-01,59.42857
2023-05-02,55.51429
2023-05-03,54.62857
2023-05-04,49.6
2023-05-05,53.88571
2023-05-08,57.14286
2023-05-09,59.57143
2023-05-10,59.97143
2023-05-11,59.05714
2023-05-12,57.34286
2023-05-15,57.25714
2023-05-16,55.28571
2023-05-17,60.25714
2023-05-18,64.91429
2023-05-19,65.45714
2023-05-22,67.85714
2023-05-23,65.8
2023-05-24,61.82857
2023-05-25,62.68571
2023-05-26,65.71429
2023-05-30,66.08571
2023-05-31,64.17143
2023-06-01,68.05714
2023-06-02,75.42857
2023-06-05,69.48571
2023-06-06,73.51429
2023-06-07,74.45714
2023-06-08,75.77143
2023-06-09,76.97143
2023-06-12,78.05714
2023-06-13,79.62857
2023-06-14,79.62857
2023-06-15,80.88571
2023-06-16,81.25714
2023-06-20,80.11429
2023-06-21,80.11429
2023-06-22,80.05714
2023-06-23,75.71429
2023-06-26,73.45714
2023-06-27,75.48571
2023-06-28,76.51429
2023-06-29,79.2
2023-06-30,79.48571
2023-07-03,82.22857
2023-07-05,79.25714
2023-07-06,77.91429
2023-07-07,77.68571
2023-07-10,76.68571
2023-07-11,78.28571
2023-07-12,78.17143
2023-07-13,79.4
2023-07-14,79.8
2023-07-17,80.02857
2023-07-18,81.68571
2023-07-19,82.34286
2023-07-20,80.85714
2023-07-21,81.02857
2023-07-24,82.51429
2023-07-25,81.22857
2023-07-26,80.6
2023-07-27,77.65714
2023-07-28,76.91429
2023-07-31,77.62857
2023-08-01,77.34286
2023-08-02,77.34286
2023-08-03,73.62857
2023-08-04,64.5
2023-08-07,72.05714
