date,signal,rule_fg,rule_drawdown,rule_momentum,fg_value,Open,ret_10d,drawdown_60d,vol_20d
2023-02-08,0,0,0,0,74.62857,308.54,0.08728900165627107,0.0,0.2515871831601717
2023-02-09,0,0,0,0,72.62857,308.84,0.06050408625781167,0.0,0.24979938347930844
2023-02-10,0,0,0,0,72.48571,299.48,0.02561643835616434,-0.03030695505763492,0.27840357850458586
2023-02-13,0,0,0,0,71.82857,301.13,0.027993035878878914,-0.02496438285196212,0.2760758471329157
2023-02-14,0,0,0,0,73.25714,302.89,0.0433329888739622,-0.019265639165911064,0.2730782983346215
2023-02-15,0,0,0,0,73.65714,304.9,0.03563058320029877,-0.012757414842636927,0.2727821282369045
2023-02-16,0,0,0,0,70.71429,304.38,-0.010371622720031226,-0.014441134568061065,0.25286359543880327
2023-02-17,0,0,0,0,69.48571,301.07,-0.012691021184495277,-0.025158658204895712,0.2589438513000204
2023-02-21,0,0,0,0,65.91429,297.26,-0.02059240222727421,-0.03749514311617663,0.2542461173001389
2023-02-22,0,0,0,0,64.17143,294.62,-0.029130692677782788,-0.04604325864525316,0.25392700336654095
2023-02-23,0,0,0,0,62.65714,297.97,-0.03425811888247876,-0.03519621810646267,0.25088308830521805
2023-02-24,1,0,0,1,60.65714,291.76,-0.05530371713508608,-0.05530371713508608,0.247570704191729
2023-02-27,0,0,0,0,61.22857,295.07,-0.014725524242019561,-0.044586193498251436,0.25061067805883497
2023-02-28,0,0,0,0,61.2,293.3,-0.02600205891143359,-0.05031731640979131,0.2514926463666641
2023-03-01,0,0,0,0,65.91429,293.26,-0.03179372049258811,-0.05044683331174715,0.24918656347069917
2023-03-02,1,0,0,1,52.45714,288.66,-0.053263365037717114,-0.06534127703665316,0.2502284781124351
2023-03-03,0,0,0,0,55.68571,295.39,-0.029535449109665546,-0.04355005828260583,0.20622149500745915
2023-03-06,0,0,0,0,55.25714,300.94,-0.00043179327066789064,-0.02557958813625172,0.21713893190413125
2023-03-07,0,0,0,0,48.51429,300.07,0.009453004104151175,-0.02839658075378826,0.21678003476133648
2023-03-08,0,0,0,0,49.82857,296.77,0.007297535808838518,-0.039081725165134085,0.21995749702500075
2023-03-09,0,0,0,0,37.54286,298.33,0.0012081753196628853,-0.03403056598886156,0.21126291340567582
2023-03-10,0,0,0,0,26.88571,292.83,0.0036673978612558056,-0.05183914000777101,0.2192158029543111
2023-03-13,0,0,0,0,23.35714,286.73,-0.028264479615006555,-0.07159046755601595,0.2054612713578429
2023-03-14,0,0,0,0,25.08571,294.31,0.0034435731333106734,-0.047047014635409834,0.22793089116584148
2023-03-15,0,0,0,0,22.68571,294.71,0.004944417922662536,-0.04575184561585288,0.22668479317215787
2023-03-16,0,0,0,0,32.57143,298.0,0.0323564054597103,-0.03509908042999599,0.22933363872886955
2023-03-17,0,0,0,0,27.0,306.72,0.03835607163411092,-0.006864395803652168,0.25324759520756585
2023-03-20,0,0,0,0,30.42857,304.26,0.011032099421811603,-0.01482968527392825,0.2517449963391635
2023-03-21,0,0,0,0,43.48571,307.94,0.02622721365014824,-0.0029141302940033365,0.24972250543343635
2023-03-22,0,0,0,0,41.02857,310.27,0.04548977322505654,0.0,0.2471301933541045
2023-03-23,0,0,0,0,38.34286,309.92,0.038849596084872484,-0.0011280497631094288,0.24529363388743491
2023-03-24,0,0,0,0,37.71429,309.32,0.0563125362838508,-0.0030618493570115923,0.23060188309989962
2023-03-27,0,0,0,0,40.2,311.6,0.08673665120496632,0.0,0.22912727864164323
2023-03-28,0,0,0,0,39.6,308.17,0.04709320104651571,-0.011007702182284973,0.23235366874131755
2023-03-29,0,0,0,0,41.45714,310.88,0.05486749686132142,-0.0023106546854942955,0.23313143884915496
2023-03-30,0,0,0,0,45.22857,315.24,0.05785234899328873,0.0,0.22522740088012388
2023-03-31,0,0,0,0,49.48571,315.91,0.0299621804903496,0.0,0.21404335185408685
2023-04-03,0,0,0,0,61.48571,318.77,0.04768947610596208,0.0,0.20747899159289035
2023-04-04,0,0,0,0,50.22857,320.6,0.04111190491654226,0.0,0.20650899959709654
2023-04-05,0,0,0,0,52.62857,318.1,0.025236084700422268,-0.007797878976918304,0.20384669351155818
2023-04-06,0,0,0,0,55.25714,314.24,0.013939081053174984,-0.01983780411728009,0.21113776564116424
2023-04-10,0,0,0,0,57.91429,315.07,0.018589163326005353,-0.017248908296943366,0.19587744394755685
2023-04-11,0,0,0,0,58.48571,317.83,0.019993581514762493,-0.008640049906425529,0.1735364549964267
2023-04-12,0,0,0,0,60.74286,317.82,0.03131388519323752,-0.00867124142233322,0.15506437530970635
2023-04-13,0,0,0,0,63.17143,314.83,0.012705867215645927,-0.017997504678727516,0.16195651272876257
2023-04-14,0,0,0,0,65.71429,317.59,0.007454637736327818,-0.00938864628820979,0.16064225969534748
2023-04-17,0,0,0,0,67.08571,318.15,0.007090627077332101,-0.007641921397380069,0.12786779386424443
2023-04-18,0,0,0,0,65.48571,320.99,0.006964268908617566,0.0,0.12460507378949293
2023-04-19,0,0,0,0,67.25714,316.41,-0.013069245165315047,-0.014268357269696774,0.1331168652387153
2023-04-20,0,0,0,0,64.05714,315.69,-0.007576233888714312,-0.016511417801177597,0.1316373192187653
2023-04-21,0,0,0,0,63.51429,315.91,0.005314409368635475,-0.015826038194336256,0.13142382264513217
2023-04-24,0,0,0,0,63.48571,316.38,0.004157806201796399,-0.01436181812517523,0.1309739031838129
2023-04-25,0,0,0,0,57.05714,314.29,-0.011138029764339308,-0.020872924390167857,0.13158035843294663
2023-04-26,0,0,0,0,52.4,313.44,-0.013781385690013193,-0.023520981962054877,0.12512279190560746
2023-04-27,0,0,0,0,58.31429,315.7,0.0027633961185402622,-0.01648026418268489,0.12391443987904237
2023-04-28,0,0,0,0,59.42857,320.11,0.007934758651091167,-0.0027415184273653637,0.12383565515710883
2023-05-01,0,0,0,0,59.42857,322.09,0.012384095552412377,0.0,0.12524439908739768
2023-05-02,0,0,0,0,55.51429,322.12,0.003520358889685049,0.0,0.12158683285306686
2023-05-03,0,0,0,0,54.62857,319.75,0.010555924275465367,-0.0073575065193095535,0.12305201779108474
2023-05-04,0,0,0,0,49.6,317.06,0.004339700338940045,-0.015708431640382492,0.12358019686128527
2023-05-05,0,0,0,0,53.88571,318.47,0.008103573802665354,-0.01133118092636276,0.11601039108068464
2023-05-08,0,0,0,0,57.14286,322.42,0.01909096655920095,0.0,0.12313929224179558
2023-05-09,0,0,0,0,59.57143,322.0,0.024531483661586417,-0.0013026487190621605,0.12006848556759443
2023-05-10,0,0,0,0,59.97143,324.12,0.03407350689127098,0.0,0.12183248171066406
2023-05-11,0,0,0,0,59.05714,325.7,0.031675641431738955,0.0,0.11604545967016057
2023-05-12,0,0,0,0,57.34286,326.74,0.02071163037705781,0.0,0.11321104824178492
2023-05-15,0,0,0,0,57.25714,325.51,0.010618150206464172,-0.0037644610393585687,0.1146958003820326
2023-05-16,0,0,0,0,55.28571,326.06,0.012231466534210922,-0.002081165452653466,0.11102161287318325
2023-05-17,0,0,0,0,60.25714,328.24,0.0265519937451133,0.0,0.09735851824369196
2023-05-18,0,0,0,0,64.91429,331.52,0.045606509808868934,0.0,0.10015465345426364
2023-05-19,0,0,0,0,65.45714,337.49,0.059723050836813396,0.0,0.11398876970228311
2023-05-22,0,0,0,0,67.85714,336.25,0.042894361391973224,-0.0036741829387537672,0.11654160754285894
2023-05-23,0,0,0,0,65.8,335.89,0.04313664596273292,-0.004740881211295234,0.11201084292174988
2023-05-24,0,0,0,0,61.82857,331.37,0.02236825866962855,-0.01813387063320393,0.1254220489309107
2023-05-25,0,0,0,0,62.68571,339.14,0.04126496776174382,0.0,0.1447278121405614
2023-05-26,0,0,0,0,65.71429,340.76,0.042908734773826174,0.0,0.1396030021615157
2023-05-30,0,0,0,0,66.08571,352.71,0.08356118091610076,0.0,0.17975808474890437
2023-05-31,0,0,0,0,64.17143,348.37,0.06842298963380977,-0.012304726262368448,0.18903851495334473
2023-06-01,0,0,0,0,68.05714,347.73,0.059377284913477935,-0.014119248107510307,0.18562774605261684
2023-06-02,0,0,0,0,75.42857,353.8,0.06720559845559859,0.0,0.184900831117774
2023-06-05,0,0,0,0,69.48571,354.43,0.050194079824587456,0.0,0.18535554643969876
2023-06-06,0,0,0,0,73.51429,354.28,0.053620817843866186,-0.0004232147391587393,0.18454332442237323
2023-06-07,0,0,0,0,74.45714,355.13,0.05728065735806376,0.0,0.18338756121332442
2023-06-08,0,0,0,0,75.77143,349.12,0.05356550079971023,-0.016923380170641766,0.19896762969930742
2023-06-09,0,0,0,0,76.97143,354.63,0.04567435277466525,-0.0014079351223496017,0.20346844128569666
2023-06-12,0,0,0,0,78.05714,356.19,0.04528113628360142,0.0,0.20342320429800717
2023-06-13,0,0,0,0,79.62857,363.29,0.029996314252502154,0.0,0.20814318828188288
2023-06-14,0,0,0,0,79.62857,363.27,0.04277061744696731,-5.505243744674537e-05,0.20866789591492527
2023-06-15,0,0,0,0,80.88571,364.61,0.04854341011704477,0.0,0.20871305020669156
2023-06-16,0,0,0,0,81.25714,372.72,0.05347654041831551,0.0,0.2167045270611816
2023-06-20,0,0,0,0,80.11429,365.95,0.032502891967384206,-0.01816376904915229,0.22779030486531393
2023-06-21,0,0,0,0,80.11429,365.74,0.032347295924127994,-0.018727194676969372,0.22664023325857421
2023-06-22,0,0,0,0,80.05714,360.63,0.015487286345845286,-0.032437218287186154,0.23516735624672735
2023-06-23,0,0,0,0,75.71429,362.21,0.037494271310724026,-0.02819811118265736,0.22630091630235588
2023-06-26,0,0,0,0,73.45714,362.0,0.020782223726137028,-0.028761536810474442,0.21551053630455969
2023-06-27,0,0,0,0,75.48571,359.25,0.008590920576097005,-0.03613972955569866,0.21887630508511358
2023-06-28,0,0,0,0,76.51429,361.98,-0.003605934652756715,-0.028815196394076037,0.18399501842352858
2023-06-29,0,0,0,0,79.2,364.24,0.0026701902166432756,-0.022751663447091675,0.17738358078926264
2023-06-30,0,0,0,0,79.48571,367.55,0.008063410219138145,-0.013871002361021678,0.17824972583192453
2023-07-03,0,0,0,0,82.22857,370.07,-0.0071098948272162454,-0.0071098948272162454,0.17052174670895193
2023-07-05,0,0,0,0,79.25714,368.695,0.007501024730154349,-0.010798991199828412,0.17185685025000424
2023-07-06,0,0,0,0,77.91429,366.51,0.0021053207196368717,-0.016661300708306626,0.1739958100369284
2023-07-07,0,0,0,0,77.68571,367.23,0.018301306047749932,-0.014729555698647756,0.17398131485476523
2023-07-10,0,0,0,0,76.68571,365.96,0.010353110074266203,-0.018136939257351492,0.16090401386311914
2023-07-11,0,0,0,0,78.28571,366.79,0.013232044198895121,-0.015910066537883738,0.1529586317641143
2023-07-12,0,0,0,0,78.17143,372.34,0.036437021572720774,-0.0010195320884310854,0.16002231869900876
2023-07-13,0,0,0,0,79.4,376.05,0.038869550803911856,0.0,0.1489558500964453
2023-07-14,0,0,0,0,79.8,379.585,0.04212881616516584,0.0,0.1511845399645358
2023-07-17,0,0,0,0,80.02857,379.8,0.03332879880288386,0.0,0.15119452289522792
2023-07-18,0,0,0,0,81.68571,381.96,0.03212905666495525,0.0,0.1321406375759058
2023-07-19,0,0,0,0,82.34286,386.82,0.04915987469317451,0.0,0.11648626340968508
2023-07-20,0,0,0,0,80.85714,382.61,0.043927860085672954,-0.010883615118142731,0.1258240685259635
2023-07-21,0,0,0,0,81.02857,379.18,0.03254091441331042,-0.019750788480430104,0.11827155029208794
2023-07-24,0,0,0,0,82.51429,376.62,0.029128866542791565,-0.026368853730417197,0.12249593108748688
2023-07-25,0,0,0,0,81.22857,376.95,0.027699773712478448,-0.025515743756786113,0.12220094300754544
2023-07-26,0,0,0,0,80.6,377.72,0.01444915937046809,-0.023525153818313327,0.11677452124782434
2023-07-27,0,0,0,0,77.65714,383.07,0.018667730355006018,-0.009694431518535773,0.12272357184761254
2023-07-28,0,0,0,0,76.91429,380.74,0.003042796738543574,-0.015717904968719276,0.12597755616393727
2023-07-31,0,0,0,0,77.62857,383.79,0.010505529225908417,-0.007833100666976844,0.1252581228728254
2023-08-01,0,0,0,0,77.34286,382.31,0.0009163263168918689,-0.011659169639625655,0.12574026390421042
2023-08-02,0,0,0,0,77.34286,379.26,-0.019543973941368087,-0.019543973941368087,0.1290235297273683
2023-08-03,0,0,0,0,73.62857,371.94,-0.027887404929301418,-0.0384675042655499,0.14668341184627642
2023-08-04,0,0,0,0,64.5,375.75,-0.009045835750830733,-0.028617961842717476,0.1504680654274295
2023-08-07,0,0,0,0,72.05714,373.88,-0.00727523764006166,-0.03345225169329402,0.15118503835298197
2023-08-08,0,0,0,0,69.2,372.64,-0.011433877172038698,-0.03665787704875656,0.15191760687526865
2023-08-09,0,0,0,0,67.31429,372.29,-0.014375728052525738,-0.03756269065715312,0.1422626831562515
2023-08-10,0,0,0,0,66.34286,370.97,-0.03158691622940968,-0.040975130551677674,0.13776380528734483
2023-08-11,0,0,0,0,65.02857,365.99,-0.038740347743867254,-0.05384933560829319,0.1395048877154755
2023-08-14,0,0,0,0,66.28571,365.43,-0.047838661768154545,-0.055297037381727865,0.1392343837442179
2023-08-15,0,0,0,0,54.5,369.36,-0.033873034971619864,-0.04513727315030236,0.1439730758660352
2023-08-16,0,0,0,0,49.48571,365.87,-0.035305595106259524,-0.054159557416886384,0.13592811094813484
2023-08-17,0,0,0,0,46.14286,363.96,-0.021455073398935376,-0.05909725453699399,0.13288338629033994
2023-08-18,1,0,1,1,43.65714,355.26,-0.05453093812375254,-0.0815883356599969,0.15181168855920982
2023-08-21,0,0,0,0,43.48571,359.62,-0.038140579865197366,-0.0703169432811126,0.160684050337055
2023-08-22,0,0,0,0,43.44286,366.55,-0.016342851009016668,-0.05240163383485852,0.17779688000008195
2023-08-23,0,0,0,0,50.17143,364.58,-0.020709661822772674,-0.05749444185926278,0.17787555277369893
2023-08-24,0,0,0,0,40.58571,372.64,0.004501711728711166,-0.03665787704875656,0.18915473820195225
2023-08-25,0,0,0,0,47.02857,362.07,-0.010710675155058968,-0.06398324802233601,0.2117910431849613
2023-08-28,0,0,0,0,45.28571,366.99,0.004268943436499528,-0.05126415387001704,0.21631381472674166
2023-08-29,0,0,0,0,49.17143,366.56,-0.007580680095299996,-0.052375782017475836,0.21624237049047304
2023-08-30,0,0,0,0,50.42857,374.88,0.024626233361576544,-0.030867069955017867,0.23186933182355207
2023-08-31,0,0,0,0,52.94286,376.94,0.035663259698867966,-0.025541595574168907,0.22165406502317453
2023-09-01,0,0,0,0,55.02857,380.4,0.07076507346731975,-0.016596866759733264,0.221081548221914
2023-09-05,0,0,0,0,59.08571,376.77,0.04768922751793547,-0.025981076469675846,0.22322223403443167
2023-09-06,0,0,0,0,56.71429,377.28,0.02927295048424483,-0.02466263378315503,0.22278410206199636
2023-09-07,0,0,0,0,53.62857,370.21,0.015442426902188888,-0.04293986867276778,0.23324876816744458
2023-09-08,0,0,0,0,51.91429,372.01,-0.001690639759553414,-0.03828654154387057,0.23354757476909815
2023-09-11,0,0,0,0,52.2,375.66,0.037534178473775937,-0.028850628199162287,0.2300505830887462
2023-09-12,0,0,0,0,51.4,375.27,0.02256192266819257,-0.029858849077090133,0.2299739601473625
2023-09-13,0,0,0,0,51.4,373.03,0.017650589262330874,-0.035649656170828825,0.22863775879378037
2023-09-14,0,0,0,0,54.42857,375.99,0.0029609475032010835,-0.027997518225531204,0.22683086760807725
2023-09-15,0,0,0,0,52.02857,375.91,-0.0027325303761871478,-0.02820433276459322,0.22556704433089173
2023-09-18,0,0,0,0,49.48571,369.32,-0.029127234490010423,-0.045240680419833534,0.2169371885241097
2023-09-19,0,0,0,0,49.94286,369.32,-0.019773336518300266,-0.045240680419833534,0.21360129775695408
2023-09-20,0,0,0,0,48.28571,370.95,-0.016777989821882944,-0.04102683418644337,0.2033987046966581
2023-09-21,0,0,0,0,37.15714,360.8,-0.025418005996596493,-0.06726642882994671,0.2258118391563311
2023-09-22,0,0,0,0,33.15714,359.63,-0.033278675304427296,-0.07029109146372992,0.20961049595141562
2023-09-25,0,0,0,0,38.42857,356.93,-0.049858914976308455,-0.07727108215707557,0.18617311823644828
2023-09-26,0,0,0,0,24.22857,356.99,-0.048711594318757045,-0.07711597125277903,0.17849730469013084
2023-09-27,1,0,1,0,22.82857,355.38,-0.04731522933812293,-0.08127811385140371,0.1788534620753336
2023-09-28,1,0,1,1,29.0,354.11,-0.0581930370488577,-0.08456129465901452,0.15437334695137764
2023-09-29,0,0,0,0,28.4,361.54,-0.038227235242478286,-0.0653533943436223,0.17395750403337903
2023-10-02,0,0,0,0,28.31429,358.54,-0.029188779378316876,-0.07310893955845088,0.17004416070585726
2023-10-03,0,0,0,0,20.52857,358.78,-0.028538936423697647,-0.07248849594126472,0.16861087116173187
2023-10-04,1,0,1,0,20.98571,355.77,-0.04092195713708047,-0.08026989297347609,0.16928774476108024
2023-10-05,0,0,0,0,20.32857,359.74,-0.002937915742793784,-0.07000672147251952,0.1653509201114208
2023-10-06,1,0,1,0,27.71429,355.65,-0.011066929900175215,-0.08058011478206917,0.16724888092092632
2023-10-09,0,0,0,0,29.25714,362.3,0.015044966800212833,-0.06338865622253242,0.1783174380241877
2023-10-10,0,0,0,0,32.31429,366.9,0.02775988122916595,-0.05149682022646196,0.1855612970387495
2023-10-11,0,0,0,0,34.34286,369.94,0.040970229050593776,-0.04363786774210221,0.18745095845394627
2023-10-12,0,0,0,0,35.68571,371.73,0.04975854960323067,-0.03142343469084652,0.18595218091758114
2023-10-13,0,0,0,0,26.27143,370.57,0.024976489461746798,-0.034445920946350905,0.1861780451576946
2023-10-16,0,0,0,0,35.74286,366.62,0.022535839794723067,-0.04473800776466297,0.17938833940082208
2023-10-17,0,0,0,0,39.14286,365.81,0.01959418027760762,-0.04684853696031688,0.17950972872983292
2023-10-18,0,0,0,0,30.57143,365.67,0.027826966860612368,-0.047213319784257024,0.17860313387312388
2023-10-19,0,0,0,0,29.54286,364.81,0.014093511980875162,-0.04945412855988962,0.1485365169968071
2023-10-20,0,0,0,0,22.85714,359.46,0.010712779417967111,-0.06339404361760348,0.15770097595553195
2023-10-23,0,0,0,0,25.84286,353.26,-0.02495169748826942,-0.07954871153495413,0.1673642464492428
2023-10-24,0,0,0,0,33.48571,357.51,-0.025592804578904338,-0.06486882372943426,0.1731554448386905
2023-10-25,0,0,0,0,25.21429,356.7,-0.035789587500675846,-0.06230283911671919,0.17254013122342335
