,vol20d,hyig_diff_bps,FGI,ig_level_pct,dxy_ma_gap20,vix_ma_gap20,hy_vol_20d_bps,fgi_hyig_inter,yc_slope_sq,vix_yc_inter,dxy_vix_inter
2023-05-31,0.2890360213152044,-0.12228585616049771,-0.03391614981296659,-0.00798803896522216,0.109311442329177,0.16069562389632447,-0.18740837483630668,-0.0006603115051291057,-0.09034818817846064,-0.03313565098024131,0.09454449295357155
2023-06-01,0.287623977296701,-0.12773442899414586,-0.027232255255831166,-0.006871969347663012,0.09711978454174318,0.15387340553325812,-0.18899817406372385,-0.005783815171754946,-0.08483456683523612,-0.0421134284771265,0.08241927124882426
2023-06-02,0.29678167410212597,-0.12423985553889634,-0.034582554240812136,-0.0047018737641904805,0.09711978454174318,0.16134415819031533,-0.17984046846675666,0.001566449942350298,-0.09152253676711235,-0.03729357972437956,0.08374472736539891
2023-06-05,0.30593937090755086,-0.11773267262798019,-0.04337880535289591,-0.0007233628308583172,0.09844524065831785,0.16929689488976327,-0.17176722800627245,0.010121674607174246,-0.09971678627358192,-0.032594220932239695,0.08711861566213441
2023-06-06,0.31509706771297574,-0.11140651930831423,-0.051331615902081795,0.0032551327388624274,0.1000116887960879,0.17676764754682045,-0.16393497979834,0.017953922815106698,-0.10712786478768727,-0.02789486930060439,0.0904925039588699
2023-06-07,0.3242547645184007,-0.10580342028830386,-0.059645891717207716,0.007173334284929243,0.1006141688490764,0.1841179041932799,-0.1559219574634443,0.02590666714931503,-0.11508107039441524,-0.023195517668969098,0.09302292018142153
2023-06-08,0.33341246132382557,-0.09863335179499524,-0.06771917403044594,0.011875261254027653,0.10097565688086949,0.18978121669137163,-0.1478487185530496,0.03410040373607513,-0.122311271225239,-0.018978150820065622,0.09458936831919158
2023-06-09,0.3422086700974574,-0.09188507115905177,-0.07615394659651571,0.01627615486307295,0.10326508108222571,0.19544452918946337,-0.1406189523646364,0.04253513257538701,-0.13002350901678117,-0.014760783971162152,0.09760176858413398
2023-06-12,0.33908220069449424,-0.09761361731842633,-0.07105832598180523,0.012102144427713887,0.10165813792891827,0.1990225650946282,-0.1435068093853644,0.0381596351068739,-0.12543277826511495,-0.025036605442339075,0.09500590998591946
2023-06-13,0.33584127555938625,-0.10327346196947874,-0.06823714986600188,0.007532397602737508,0.10077666620184043,0.20228183842441708,-0.14679407591804092,0.03508974035216599,-0.12027191542465966,-0.03515046949254793,0.09409869434509197
2023-06-14,0.3448261831484661,-0.0951379601931143,-0.07649360216295584,0.012270672000047885,0.10259793125368093,0.20519586250736185,-0.1408446055127605,0.04334614984679329,-0.12883248438034273,-0.030293755227601755,0.09591995939693246
